"id","area","disponivel","referencia","time_stamp"
1,Berçario,false,Berçario_1,2025-04-14 16:36:20.776
2,Berçario,false,Berçario_2,2025-04-14 16:36:20.810
3,Berçario,false,Berçario_3,2025-04-14 16:36:20.903
4,Berçario,false,Berçario_4,2025-04-14 16:36:20.945
6,Berçario,false,Berçario_6,2025-04-14 16:36:21.043
5,Berçario,false,Berçario_5,2025-04-14 16:36:20.992
8,Creche,true,Creche_2,2025-04-14 16:39:59.527
11,Creche,true,Creche_5,2025-04-14 16:39:59.971
12,Creche,true,Creche_6,2025-04-14 16:40:00.066
13,Creche,true,Creche_7,2025-04-14 16:40:00.200
14,Creche,true,Creche_8,2025-04-14 16:40:00.259
7,Creche,false,Creche_1,2025-04-14 16:39:59.500
9,Creche,false,Creche_3,2025-04-14 16:39:59.698
10,Creche,false,Creche_4,2025-04-14 16:39:59.743
