"id","data_plantio","instrucoes","nome_cimentifico","nome_popular","notificacoes","time_stamp","bloco_entity_id","ciclo_entity_id","localizacao_entity_id","nome_cientifico","data_adubacao"
1,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Dedo de Moça,{},2025-04-14 16:13:42.728,,1,6,Capsicum baccatum,
2,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta de Cheiro,{},2025-04-14 16:16:44.799,,2,9,Capsicum chinense,
3,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta de Cheiro Roxa,{},2025-04-14 16:17:16.659,,3,8,Capsicum chinense,
4,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Hungarian Wax,{},2025-04-14 16:17:43.308,,4,7,Capsicum baccatum,
5,2025-04-14,Molhar uma vez ao dia,Capsicum annuum,Pimenta Malaguetão,{},2025-04-14 16:18:16.579,,5,4,Capsicum annuum,
6,2025-04-14,Molhar uma vez ao dia,Capsicum annuum,Pimenta Caiena,{},2025-04-14 16:18:41.515,,6,5,Capsicum annuum,
7,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta Biquinho,{},2025-04-14 16:19:11.834,,7,1,Capsicum chinense,
8,2025-04-14,Molhar uma vez ao dia,Capsicum frutescens,Pimenta Malagueta,{},2025-04-14 16:19:37.998,,8,2,Capsicum frutescens,
9,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta Bodinho,{},2025-04-14 16:20:01.405,,9,3,Capsicum chinense,
10,2025-04-14,Molhar uma vez ao dia,Capsicum frutescens,Pimenta Malagueta,{},2025-04-14 16:23:48.395,,10,12,Capsicum frutescens,
11,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta de Cheiro,{},2025-04-14 16:24:43.307,,11,11,Capsicum chinense,
12,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Dedo de Moça,{},2025-04-14 16:25:24.755,,12,10,Capsicum baccatum,
13,2025-04-14,Molhar uma vez ao dia,Cucumis melo,Melão,{},2025-04-14 16:26:10.141,,13,16,Cucumis melo,
14,2025-04-14,Molhar uma vez ao dia,Solanum lycopersicum var. cerasiforme,Tomate Cereja,{},2025-04-14 16:27:06.646,,14,18,Solanum lycopersicum var. cerasiforme,
15,2025-04-14,Molhar uma vez ao dia,Capsicum annuum,Pimenta Caiena,{},2025-04-14 16:36:48.878,1,15,,Capsicum annuum,
16,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta Chapéu de Bispo,{},2025-04-14 16:37:38.808,2,16,,Capsicum chinense,
17,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta de Cheiro,{},2025-04-14 16:37:58.126,3,17,,Capsicum chinense,
18,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Dedo de Moça,{},2025-04-14 16:38:21.840,4,18,,Capsicum baccatum,
19,2025-04-14,Molhar uma vez ao dia,Cucurbita maxima,Abobora,{},2025-04-14 16:38:52.781,6,19,,Cucurbita maxima,
20,2025-04-14,Molhar uma vez ao dia,Solanum lycopersicum var. cerasiforme,Tomate Cereja,{},2025-04-14 16:39:13.922,5,20,,Solanum lycopersicum var. cerasiforme,
21,2025-04-14,Molhar uma vez ao dia,Capsicum chinense,Pimenta de Cheiro Roxa,{},2025-04-14 16:40:27.278,7,21,,Capsicum chinense,
22,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Hungarian Wax,{},2025-04-14 16:41:16.050,9,22,,Capsicum baccatum,
23,2025-04-14,Molhar uma vez ao dia,Capsicum baccatum,Pimenta Hungarian Wax,{},2025-04-14 16:41:29.189,10,23,,Capsicum baccatum,
24,2025-04-15,Molhar uma vez ao dia,,Pimenta Bodinho,{},2025-04-15 19:23:38.475,,24,17,Capsicum chinense,
